timestamp,angle_deg,velocity_deg_s,torque_nm
1780073483.104980,179.999934,0.000000,-0.000000
1780073483.114920,179.999934,0.000000,-0.000000
1780073483.134794,179.999934,0.000000,-0.000000
1780073483.144825,179.999934,0.000000,-0.000000
1780073483.154856,179.999934,0.000000,-0.000000
1780073483.177834,179.999934,0.000000,-0.000000
1780073483.187867,179.999934,0.000000,-0.000000
1780073483.197869,179.999934,0.000000,-0.000000
1780073483.221367,179.999934,0.000000,-0.000000
1780073483.231402,179.999934,0.000000,-0.000000
1780073483.241539,179.999934,0.000000,-0.000000
1780073483.266191,179.999934,0.000000,-0.000000
1780073483.276218,179.999934,0.000000,-0.000000
1780073483.286343,179.999934,0.000000,-0.000000
1780073483.311505,179.999934,0.000000,-0.000000
1780073483.321550,179.999934,0.000000,-0.000000
1780073483.331650,179.999934,0.000000,-0.000000
1780073483.341706,179.999934,0.000000,-0.000000
1780073483.360235,179.999934,0.000000,-0.000000
1780073483.370276,179.999934,0.000000,-0.000000
1780073483.380357,179.999934,0.000000,-0.000000
1780073483.405490,179.999934,0.000000,-0.000000
1780073483.415535,179.999934,0.000000,-0.000000
1780073483.425802,179.999934,0.000000,-0.000000
1780073483.435826,179.999934,0.000000,-0.000000
1780073483.454720,179.999934,0.000000,-0.000000
1780073483.464780,179.999934,0.000000,-0.000000
1780073483.474849,179.999934,0.000000,-0.000000
1780073483.484898,179.999934,0.000000,-0.000000
1780073483.501658,179.999934,0.000000,-0.000000
1780073483.511711,179.999934,0.000000,-0.000000
1780073483.521983,179.999934,0.000000,-0.000000
1780073483.547374,179.999934,0.000000,-0.000000
1780073483.557445,179.999934,0.000000,-0.000000
1780073483.567602,179.999934,0.000000,-0.000000
1780073483.577651,179.999934,0.000000,-0.000000
1780073483.594832,179.999934,0.000000,-0.000000
1780073483.604920,179.999934,0.000000,-0.000000
1780073483.615047,179.999934,0.000000,-0.000000
1780073483.640775,179.999934,0.000000,-0.000000
1780073483.650853,179.999934,0.000000,-0.000000
1780073483.661050,179.999934,0.000000,-0.000000
1780073483.671101,179.999934,0.000000,-0.000000
1780073483.689796,179.999934,0.000000,-0.000000
1780073483.699822,179.999934,0.000000,-0.000000
1780073483.709881,179.999934,0.000000,-0.000000
1780073483.719941,179.999934,0.000000,-0.000000
1780073483.736631,179.999934,0.000000,-0.000000
1780073483.746708,179.999934,0.000000,-0.000000
1780073483.756899,179.999934,0.000000,-0.000000
1780073483.782020,179.999934,0.000000,-0.000000
1780073483.792057,179.999934,0.000000,-0.000000
1780073483.802250,179.999934,0.000000,-0.000000
1780073483.827625,179.999934,0.000000,-0.000000
1780073483.837695,179.999934,0.000000,-0.000000
1780073483.847703,179.999934,0.000000,-0.000000
1780073483.857757,179.999934,0.000000,-0.000000
1780073483.876019,179.999934,0.000000,-0.000000
1780073483.886036,179.999934,0.000000,-0.000000
1780073483.896209,179.999934,0.000000,-0.000000
1780073483.921256,179.999934,0.000000,-0.000000
1780073483.931361,179.999934,0.000000,-0.000000
1780073483.941671,179.999934,0.000000,-0.000000
1780073483.951742,179.999934,0.000000,-0.000000
1780073483.968611,179.999934,0.000000,-0.000000
1780073483.978681,179.999934,0.000000,-0.000000
1780073483.989048,179.999934,0.000000,-0.000000
1780073484.013887,179.999934,0.000000,-0.000000
1780073484.023937,179.999934,0.000000,-0.000000
1780073484.034004,179.999934,0.000000,-0.000000
1780073484.058890,179.999934,0.000000,-0.000000
1780073484.068962,179.999934,0.000000,-0.000000
1780073484.079526,179.999934,0.000000,-0.000000
1780073484.104928,179.999934,0.000000,-0.000000
1780073484.114994,179.999934,0.000000,-0.000000
1780073484.125021,179.999934,0.000000,-0.000000
1780073484.135079,179.999934,0.000000,-0.000000
1780073484.152173,179.999934,0.000000,-0.000000
1780073484.162215,179.999934,0.000000,-0.000000
1780073484.172276,179.999934,0.000000,-0.000000
1780073484.182341,179.999934,0.000000,-0.000000
1780073484.198925,179.999934,0.000000,-0.000000
1780073484.209009,179.999934,0.000000,-0.000000
1780073484.219047,179.999934,0.000000,-0.000000
1780073484.229106,179.999934,0.000000,-0.000000
1780073484.245118,179.999934,0.000000,-0.000000
1780073484.255160,179.999934,0.000000,-0.000000
1780073484.265370,179.999934,0.000000,-0.000000
1780073484.275428,179.999934,0.000000,-0.000000
1780073484.292893,179.999934,0.000000,-0.000000
1780073484.302915,179.999934,0.000000,-0.000000
1780073484.313042,179.999934,0.000000,-0.000000
1780073484.323078,179.999934,0.000000,-0.000000
1780073484.338559,179.999934,0.000000,-0.000000
1780073484.348632,179.999934,0.000000,-0.000000
1780073484.358685,179.999934,0.000000,-0.000000
1780073484.382478,179.999934,0.000000,-0.000000
1780073484.392509,179.999934,0.000000,-0.000000
1780073484.402574,179.999934,0.000000,-0.000000
1780073484.427249,179.999934,0.000000,-0.000000
1780073484.437407,179.999934,0.000000,-0.000000
1780073484.447792,179.999934,0.000000,-0.000000
1780073484.457939,179.999934,0.000000,-0.000000
1780073484.474163,179.999934,0.000000,-0.000000
1780073484.484223,179.999934,0.000000,-0.000000
1780073484.494737,179.999934,0.000000,-0.000000
1780073484.504896,179.999934,0.000000,-0.000000
1780073484.522714,179.999934,0.000000,-0.000000
1780073484.532767,179.999934,0.000000,-0.000000
1780073484.543068,179.999934,0.000000,-0.000000
1780073484.553271,179.999934,0.000000,-0.000000
1780073484.570309,179.999934,0.000000,-0.000000
1780073484.580334,179.999934,0.000000,-0.000000
1780073484.590435,179.999934,0.000000,-0.000000
1780073484.615930,179.999934,0.000000,-0.000000
1780073484.625922,179.999934,0.000000,-0.000000
1780073484.636045,179.999934,0.000000,-0.000000
1780073484.660779,179.999934,0.000000,-0.000000
1780073484.670696,179.999934,0.000000,-0.000000
1780073484.680887,179.999934,0.000000,-0.000000
1780073484.691048,179.999934,0.000000,-0.000000
1780073484.707216,179.999934,0.000000,-0.000000
1780073484.717282,179.999934,0.000000,-0.000000
1780073484.728215,179.999934,0.000000,-0.000000
1780073484.738358,179.999934,0.000000,-0.000000
1780073484.754476,179.999934,0.000000,-0.000000
1780073484.764527,179.999934,0.000000,-0.000000
1780073484.775108,179.999934,0.000000,-0.000000
1780073484.785952,179.999934,0.000000,-0.000000
1780073484.810050,179.999934,0.000000,-0.000000
1780073484.820033,179.999934,0.000000,-0.000000
1780073484.830251,179.999934,0.000000,-0.000000
1780073484.855881,179.999934,0.000000,-0.000000
1780073484.865839,179.999934,0.000000,-0.000000
1780073484.876057,179.999934,0.000000,-0.000000
1780073484.886139,179.999934,0.000000,-0.000000
1780073484.902070,179.999934,0.000000,-0.000000
1780073484.912118,179.999934,0.000000,-0.000000
1780073484.922219,179.999934,0.000000,-0.000000
1780073484.946093,179.999934,0.000000,-0.000000
1780073484.956112,179.999934,0.000000,-0.000000
1780073484.966509,179.999934,0.000000,-0.000000
1780073484.991538,179.999934,0.000000,-0.000000
1780073485.001553,179.999934,0.000000,-0.000000
1780073485.012214,179.999934,0.000000,-0.000000
1780073485.037375,179.999934,0.000000,-0.000000
1780073485.047350,179.999934,0.000000,-0.000000
1780073485.057425,179.999934,0.000000,-0.000000
1780073485.067529,179.999934,0.000000,-0.000000
1780073485.083128,179.999934,0.000000,-0.000000
1780073485.093189,179.999934,0.000000,-0.000000
1780073485.103317,179.999934,0.000000,-0.000000
1780073485.127952,179.999934,0.000000,-0.000000
1780073485.138004,179.999934,0.000000,-0.000000
1780073485.148523,179.999934,0.000000,-0.000000
1780073485.158571,179.999934,0.000000,-0.000000
1780073485.176826,179.999934,0.000000,-0.000000
1780073485.186877,179.999934,0.000000,-0.000000
1780073485.197616,179.999934,0.000000,-0.000000
1780073485.222882,179.999934,0.000000,-0.000000
1780073485.232936,179.999934,0.000000,-0.000000
1780073485.243012,179.999934,0.000000,-0.000000
1780073485.253167,179.999934,0.000000,-0.000000
1780073485.269041,179.999934,0.000000,-0.000000
1780073485.279068,179.999934,0.000000,-0.000000
1780073485.289140,179.999934,0.000000,-0.000000
1780073485.314542,179.999934,0.000000,-0.000000
1780073485.324487,179.999934,0.000000,-0.000000
1780073485.334533,179.999934,0.000000,-0.000000
1780073485.344716,179.999934,0.000000,-0.000000
1780073485.361816,179.999934,0.000000,-0.000000
1780073485.371868,179.999934,0.000000,-0.000000
1780073485.382068,179.999934,0.000000,-0.000000
1780073485.407588,179.999934,0.000000,-0.000000
1780073485.417573,179.999934,0.000000,-0.000000
1780073485.427797,179.999934,0.000000,-0.000000
1780073485.453437,179.999934,0.000000,-0.000000
1780073485.463405,179.999934,0.000000,-0.000000
1780073485.473422,179.999934,0.000000,-0.000000
1780073485.483552,179.999934,0.000000,-0.000000
1780073485.500207,179.999934,0.000000,-0.000000
1780073485.510214,179.999934,0.000000,-0.000000
1780073485.520388,179.999934,0.000000,-0.000000
1780073485.545808,179.999934,0.000000,-0.000000
1780073485.555878,179.999934,0.000000,-0.000000
1780073485.566167,179.999934,0.000000,-0.000000
1780073485.576325,179.999934,0.000000,-0.000000
1780073485.592260,179.999934,0.000000,-0.000000
1780073485.602244,179.999934,0.000000,-0.000000
1780073485.612343,179.999934,0.000000,-0.000000
1780073485.622513,179.999934,0.000000,-0.000000
1780073485.641037,179.999934,0.000000,-0.000000
1780073485.651083,179.999934,0.000000,-0.000000
1780073485.661041,179.999934,0.000000,-0.000000
1780073485.671121,179.999934,0.000000,-0.000000
1780073485.689233,179.999934,0.000000,-0.000000
1780073485.699253,179.999934,0.000000,-0.000000
1780073485.709749,179.999934,0.000000,-0.000000
1780073485.719882,179.999934,0.000000,-0.000000
1780073485.735909,179.999934,0.000000,-0.000000
1780073485.745926,179.999934,0.000000,-0.000000
1780073485.755968,179.999934,0.000000,-0.000000
1780073485.766074,179.999934,0.000000,-0.000000
1780073485.785908,179.999934,0.000000,-0.000000
1780073485.795914,179.999934,0.000000,-0.000000
1780073485.805944,179.999934,0.000000,-0.000000
1780073485.816033,179.999934,0.000000,-0.000000
1780073485.834840,179.999934,0.000000,-0.000000
1780073485.844907,179.999934,0.000000,-0.000000
1780073485.854944,179.999934,0.000000,-0.000000
1780073485.865113,179.999934,0.000000,-0.000000
1780073485.882059,179.999934,0.000000,-0.000000
1780073485.892080,179.999934,0.000000,-0.000000
1780073485.902245,179.999934,0.000000,-0.000000
1780073485.927869,179.999934,0.000000,-0.000000
1780073485.937892,179.999934,0.000000,-0.000000
1780073485.948549,179.999934,0.000000,-0.000000
1780073485.958711,179.999934,0.000000,-0.000000
1780073485.974896,179.999934,0.000000,-0.000000
1780073485.984917,179.999934,0.000000,-0.000000
1780073485.995149,179.999934,0.000000,-0.000000
1780073486.005259,179.999934,0.000000,-0.000000
1780073486.022151,179.999934,0.000000,-0.000000
1780073486.032179,179.999934,0.000000,-0.000000
1780073486.042986,179.999934,0.000000,-0.000000
1780073486.053065,179.999934,0.000000,-0.000000
1780073486.072283,179.999934,0.000000,-0.000000
1780073486.082315,179.999934,0.000000,-0.000000
1780073486.092452,179.999934,0.000000,-0.000000
1780073486.118047,179.999934,0.000000,-0.000000
1780073486.127977,179.999934,0.000000,-0.000000
1780073486.138106,179.999934,0.000000,-0.000000
1780073486.148233,179.999934,0.000000,-0.000000
1780073486.164560,179.999934,0.000000,-0.000000
1780073486.174562,179.999934,0.000000,-0.000000
1780073486.184656,179.999934,0.000000,-0.000000
1780073486.209935,179.999934,0.000000,-0.000000
1780073486.219971,179.999934,0.000000,-0.000000
1780073486.230083,179.999934,0.000000,-0.000000
1780073486.255287,179.999934,0.000000,-0.000000
1780073486.265370,179.999934,0.000000,-0.000000
1780073486.275387,179.999934,0.000000,-0.000000
1780073486.299872,179.999934,0.000000,-0.000000
1780073486.309857,179.999934,0.000000,-0.000000
1780073486.320073,179.999934,0.000000,-0.000000
1780073486.330180,179.999934,0.000000,-0.000000
1780073486.347765,179.999934,0.000000,-0.000000
1780073486.357773,179.999934,0.000000,-0.000000
1780073486.368229,179.999934,0.000000,-0.000000
1780073486.378407,179.999934,0.000000,-0.000000
1780073486.394467,179.999934,0.000000,-0.000000
1780073486.404504,179.999934,0.000000,-0.000000
1780073486.414807,179.999934,0.000000,-0.000000
1780073486.424865,179.999934,0.000000,-0.000000
1780073486.441438,179.999934,0.000000,-0.000000
1780073486.451506,179.999934,0.000000,-0.000000
1780073486.461866,179.999934,0.000000,-0.000000
1780073486.471944,179.999934,0.000000,-0.000000
1780073486.488732,179.999934,0.000000,-0.000000
1780073486.498810,179.999934,0.000000,-0.000000
1780073486.508852,179.999934,0.000000,-0.000000
1780073486.518920,179.999934,0.000000,-0.000000
1780073486.535792,179.999934,0.000000,-0.000000
